timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769106915.141269,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769106915.141322,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769106915.141988,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769106915.142036,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769106915.142154,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769106915.14222,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769106915.14281,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769106915.142837,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769106915.143222,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769106915.143251,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769106915.143531,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769106915.143554,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769106915.148233,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769106915.148282,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769106915.151039,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769106915.151064,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769106915.151134,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769106915.151149,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769106915.190188,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769106915.190235,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769106915.770226,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769106915.770297,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769106915.770706,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769106915.770765,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769106915.770789,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769106915.770806,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769106915.771176,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
